state,fec_candidate_id,selected_candidate_name,committee_id,total_receipts,total_disbursements,cash_on_hand_end_period,cash_on_hand,debts_owed_by_committee,coverage_end_date,party,party_normalized,selected_candidate,selection_method,selection_rank_within_state_party,manual_override_reason
CT,S2CT00132,"MURPHY, CHRISTOPHER S",C00492645,12504647.66,6792067.91,11239354.61,11239354.61,0.0,2026-03-31T00:00:00,DEM,DEM,True,highest_total_receipts,1.0,
CT,S4CT00195,"PAGLINO, JUSTIN COBB DR",C00880104,300.0,694.63,155.52,155.52,12300.0,2026-03-31T00:00:00,GRE,OTHER,False,,1.0,
CT,S8CT00121,"COREY, MATTHEW MCKINNON",C00878561,0.0,7217.4,0.0,0.0,10000.0,2025-03-31T00:00:00,REP,REP,True,highest_total_receipts,1.0,
CT,S2CT00256,"HYDE, ROBERT FINLEY",C00762559,0.0,0.0,0.0,0.0,0.0,2025-10-20T00:00:00,REP,REP,False,,2.0,
DE,S6DE00156,"BEARDSLEY, CHRISTOPHER MR.",C00927665,22356.0,13165.27,9190.73,9190.73,12850.0,2025-12-31T00:00:00,DEM,DEM,False,,3.0,
DE,S4DE00060,"BLUNT ROCHESTER, LISA",C00843391,849819.29,884380.44,109896.03,109896.03,0.0,2026-03-31T00:00:00,DEM,DEM,False,,2.0,
DE,S8DE00079,"CARPER, THOMAS R.",C00349217,0.0,55789.69,0.0,0.0,0.0,2025-03-31T00:00:00,DEM,DEM,False,,4.0,
DE,S0DE00092,"COONS, CHRISTOPHER A.",C00475392,3044649.37,1100177.83,4129671.39,4129671.39,0.0,2026-03-31T00:00:00,DEM,DEM,True,highest_total_receipts,1.0,
DE,S0DE00175,"SCARANE, JESSICA",C00727263,0.0,0.0,0.0,0.0,0.0,2025-06-30T00:00:00,DEM,DEM,False,,5.0,
DE,S4DE00094,"HANSEN, ERIC",C00853788,0.0,0.0,0.0,0.0,0.0,2025-01-09T00:00:00,REP,REP,False,,4.0,
DE,S6DE00206,"KATZ, MICHAEL S DR.",C00935163,20211.0,116.78,20094.22,20094.22,19250.0,2026-03-31T00:00:00,REP,REP,False,,2.0,
DE,S6DE00131,"O'DONNELL, CHRISTINE",C00449595,0.0,0.0,471.26,471.26,39118.92,2026-03-31T00:00:00,REP,REP,False,,5.0,
DE,S6DE00198,"SHULLI, JOHN",C00933663,100728.71,15021.49,85707.22,85707.22,100000.0,2026-03-31T00:00:00,REP,REP,True,highest_total_receipts,1.0,
DE,S8DE00129,"TRUONO, EUGENE (GENE) J JR",C00661801,1686.71,1686.71,471.14,471.14,205873.48,2026-03-31T00:00:00,REP,REP,False,,3.0,
FL,S6FL00749,"ATKINS, JOEY MENDOZA",C00907998,9123.75,6891.33,2232.42,2232.42,5000.0,2026-03-31T00:00:00,DEM,DEM,False,,8.0,
FL,S4FL00637,"CAMPBELL, STANLEY",C00851725,0.0,118434.38,0.0,0.0,1401000.0,2025-03-31T00:00:00,DEM,DEM,False,,9.0,
FL,S2FL00631,"DEMINGS, VAL",C00590489,0.0,0.0,0.0,0.0,0.0,2025-03-07T00:00:00,DEM,DEM,False,,10.0,
FL,S2FL00581,"GRAYSON, ALAN MARK",C00424713,178051.99,178581.66,126388.14,126388.14,3913494.64,2026-03-31T00:00:00,DEM,DEM,False,,6.0,
FL,S6FL00673,"LYLES, TAMIKA MS",C00900522,23287.14,3139.89,20147.25,20147.25,21000.0,2026-03-31T00:00:00,DEM,DEM,False,,7.0,
FL,S4FL00611,"MUCARSEL-POWELL, DEBBIE",C00848648,676089.7,603472.98,47339.41,47339.41,0.0,2026-03-31T00:00:00,DEM,DEM,False,,4.0,
FL,S6FL00806,"MUJICA, HECTOR DANIEL",C00923342,717348.11,637278.06,80070.05,80070.05,206566.39,2026-03-31T00:00:00,DEM,DEM,False,,3.0,
FL,S6FL00830,"NIXON, ANGELA",C00915041,293583.92,20957.37,177595.28,177595.28,0.0,2026-03-31T00:00:00,DEM,DEM,False,,5.0,
FL,S6FL00855,"VINDMAN, ALEXANDER",C00936559,8188391.6,1748269.11,6440222.49,6440222.49,154658.25,2026-03-31T00:00:00,DEM,DEM,False,,2.0,
FL,S6FL00756,"WEIL, JOSHUA JOSEPH",C00893321,15933478.15,15933478.15,0.0,0.0,0.0,2025-09-30T00:00:00,DEM,DEM,True,highest_total_receipts,1.0,
FL,S2FL00656,"NGUYEN, QUOC TUAN MR.",C00875757,0.0,0.0,-2426.25,-2426.25,9500.0,2025-01-27T00:00:00,NPA,OTHER,False,,1.0,
FL,S6FL00848,"GLEASON, CHRISTOPHER",C00936534,3429.73,129.73,3300.0,3300.0,0.0,2026-03-31T00:00:00,REP,REP,False,,5.0,
FL,S6FL00657,"LANG, JAKE",C00897330,32771.73,27362.66,5409.07,5409.07,26937.73,2026-03-31T00:00:00,REP,REP,False,,4.0,
FL,S6FL00624,"LAROSE, JOSUE ECONOMIST",C00894972,0.0,0.0,0.0,0.0,0.0,2026-03-31T00:00:00,REP,REP,False,,6.0,
FL,S6FL00236,"MCBRIDE, WILLIAM",C00425546,0.0,0.0,0.0,0.0,250000.0,2025-01-24T00:00:00,REP,REP,False,,7.0,
FL,S6FL00640,"MOODY, ASHLEY",C00895763,8407063.8,1277671.65,7129392.15,7129392.15,0.0,2026-03-31T00:00:00,REP,REP,True,highest_total_receipts,1.0,
FL,S0FL00338,"RUBIO, MARCO",C00620518,1434868.67,182757.89,2854657.9,2854657.9,0.0,2026-03-31T00:00:00,REP,REP,False,,3.0,
FL,S8FL00273,"SCOTT, RICK SEN",C00676965,1458779.64,1457252.35,799890.86,799890.86,24138834.0,2026-03-31T00:00:00,REP,REP,False,,2.0,
GA,S8GA00180,"OSSOFF, T. JONATHAN",C00718866,57270664.6,30525198.99,31736032.32,31736032.32,0.0,2026-03-31T00:00:00,DEM,DEM,True,highest_total_receipts,1.0,
GA,S0GA00559,"WARNOCK, RAPHAEL",C00736876,1949646.61,2646725.5,4041496.1,4041496.1,0.0,2026-03-31T00:00:00,DEM,DEM,False,,2.0,
GA,S6GA00267,"BOX, REAGAN",C00818807,82041.04,90345.82,-261.54,-261.54,0.0,2026-03-31T00:00:00,REP,REP,False,,7.0,
GA,S6GA00374,"CARTER, EARL LEROY",C00543967,6713652.93,6002322.36,3730260.91,3730260.91,3000000.0,2026-03-31T00:00:00,REP,REP,False,,2.0,
GA,S6GA00366,"CLEMENT, CHRISTINA LOREN REV DR TRUSTE",C00857128,50250930.0,2234.41,50248695.59,50248695.59,50250000.0,2026-03-31T00:00:00,REP,REP,True,highest_total_receipts,1.0,
GA,S6GA00390,"COLLINS, MICHAEL A JR",C00544684,4318376.94,2790134.88,2125437.15,2125437.15,286941.43,2026-03-31T00:00:00,REP,REP,False,,3.0,
GA,S6GA00408,"DOOLEY, DEREK",C00914531,3671916.59,1448348.05,2223568.54,2223568.54,0.0,2026-03-31T00:00:00,REP,REP,False,,4.0,
GA,S6GA00382,"KING, JOHN",C00904870,563078.46,563078.46,0.0,0.0,0.0,2026-01-31T00:00:00,REP,REP,False,,6.0,
GA,S2GA00282,"MCCOLUMN, JONATHAN MR",C00805721,36143.79,23433.03,12412.31,12412.31,30000.0,2026-03-31T00:00:00,REP,REP,False,,8.0,
GA,S2GA00225,"WALKER, HERSCHEL MR.",C00787853,890425.72,421256.98,4821735.73,4821735.73,0.0,2026-03-31T00:00:00,REP,REP,False,,5.0,
HI,S2HI00106,"HIRONO, MAZIE K.",C00420760,486874.86,499060.49,1393689.22,1393689.22,0.0,2026-03-31T00:00:00,DEM,DEM,False,,2.0,
HI,S4HI00136,"SCHATZ, BRIAN",C00540732,1185717.89,508868.78,2333473.53,2333473.53,0.0,2026-03-31T00:00:00,DEM,DEM,True,highest_total_receipts,1.0,
HI,S4HI00177,"LAM, ADRIEL",C00859785,0.0,741.75,0.0,0.0,0.0,2025-06-30T00:00:00,REP,REP,False,,2.0,
HI,S2HI00155,"MCDERMOTT, ROBERT",C00800656,59.4,111.31,72.43,72.43,4500.0,2026-03-31T00:00:00,REP,REP,True,highest_total_receipts,1.0,
IA,S2IA00164,"FINKENAUER, ABBY",C00785279,15065.71,19820.44,4718.44,4718.44,318625.32,2026-03-31T00:00:00,DEM,DEM,False,,6.0,
IA,S0IA00176,"GREENFIELD, THERESA",C00708164,0.0,40984.9,123723.68,123723.68,0.0,2026-03-31T00:00:00,DEM,DEM,False,,7.0,
IA,S6IA00280,"NORRIS, JACKIE",C00914747,363563.01,363563.01,0.0,0.0,0.0,2026-03-20T00:00:00,DEM,DEM,False,,4.0,
IA,S6IA00256,"SAGE, NATHAN",C00902494,1432562.28,1432459.9,102.38,102.38,6821.92,2026-03-31T00:00:00,DEM,DEM,False,,3.0,
IA,S6IA00264,"SCHOLTEN, JAMES",C00907170,213415.45,205271.15,8144.3,8144.3,10100.0,2025-12-31T00:00:00,DEM,DEM,False,,5.0,
IA,S6IA00298,"TUREK, JOSHUA",C00915645,2808701.1,2051221.09,757480.01,757480.01,0.0,2026-03-31T00:00:00,DEM,DEM,False,,2.0,
IA,S6IA00272,"WAHLS, ZACH P",C00907923,3167670.76,2112265.12,1055405.64,1055405.64,0.0,2026-03-31T00:00:00,DEM,DEM,True,highest_total_receipts,1.0,
IA,S6IA00181,"LAEHN, THOMAS RAYMOND DR.",C00872903,20422.91,29466.51,5513.72,5513.72,0.0,2026-03-31T00:00:00,LIB,OTHER,False,,1.0,
IA,S4IA00194,"STEWART, RICK",C00753657,0.0,0.0,-7272.83,-7272.83,0.0,2025-06-30T00:00:00,LIB,OTHER,False,,2.0,
IA,S6IA00314,"ARENHOLZ, ASHLEY HINSON",C00706267,7267266.37,2679198.52,6516143.25,6516143.25,0.0,2026-03-31T00:00:00,REP,REP,True,highest_total_receipts,1.0,
IA,S6IA00249,"CARLIN, JAMES",C00898148,293966.17,279387.32,14578.85,14578.85,193506.46,2026-03-31T00:00:00,REP,REP,False,,3.0,
IA,S2IA00131,"CARLIN, JAMES M.",C00769208,0.0,0.0,0.0,0.0,0.0,2025-02-16T00:00:00,REP,REP,False,,5.0,
IA,S4IA00129,"ERNST, JONI K",C00546788,1997585.68,2240263.66,1997164.76,1997164.76,0.0,2026-03-31T00:00:00,REP,REP,False,,2.0,
IA,S0IA00028,"GRASSLEY, CHARLES E",C00230482,208905.54,250920.98,290885.5,290885.5,0.0,2026-03-31T00:00:00,REP,REP,False,,4.0,
IA,S4IA00095,"WHITAKER, MATTHEW GEORGE ""MATT""",C00544924,0.0,0.0,7987.56,7987.56,49187.37,2026-03-31T00:00:00,REP,REP,False,,6.0,
ID,S6ID00013,"EVANS, JOHN VICTOR",C00194472,2079.84,22235.3,49226.93,49226.93,0.0,2026-03-31T00:00:00,DEM,DEM,False,,2.0,
ID,S6ID00138,"ROTH, DAVID JORDAN",C00839720,7494.66,8180.98,-91.55,-91.55,10027.58,2026-03-31T00:00:00,DEM,DEM,True,highest_total_receipts,1.0,
ID,S6ID00146,"ACHILLES, TODD BAKER",C00909309,412743.66,280248.03,140788.55,140788.55,0.0,2026-03-31T00:00:00,IND,OTHER,False,,2.0,
ID,S8ID00027,"CRAPO, MICHAEL D",C00330886,1047393.27,590918.68,3028068.4,3028068.4,0.0,2026-03-31T00:00:00,REP,REP,True,highest_total_receipts,1.0,
ID,S6ID00120,"EVANS, JOE",C00894816,7741.0,7650.17,90.83,90.83,6791.0,2026-03-30T00:00:00,REP,REP,False,,4.0,
ID,S6ID00161,"LAVE, DENNY",C00940833,160895.0,1605.5,159289.5,159289.5,169276.83,2026-03-31T00:00:00,REP,REP,False,,2.0,
ID,S6ID00153,"ROY, JOSHUA S",C00928424,27384.67,14495.1,12889.57,12889.57,17862.97,2026-03-31T00:00:00,REP,REP,False,,3.0,
ID,S2ID00129,"TROTTER, JAMES SCOTT",C00791319,0.0,0.0,0.0,0.0,0.0,2025-03-31T00:00:00,REP,REP,False,,5.0,
ID,S8ID00092,"RISCH, JAMES E MR.",C00440362,2729215.51,1322608.05,3826972.02,3826972.02,0.0,2026-03-31T00:00:00,UNK,OTHER,False,,1.0,
IL,S6IL00656,"BOTSFORD, STEVE",C00920348,372718.37,372618.2,100.17,100.17,0.0,2026-03-31T00:00:00,DEM,DEM,False,,5.0,
IL,S6IL00565,"BUSTOS, AWISI",C00907931,42028.81,46453.58,0.0,0.0,0.0,2026-02-25T00:00:00,DEM,DEM,False,,10.0,
IL,S6IL00623,"DEAN, JONATHAN",C00915280,124404.07,100311.38,24092.69,24092.69,61077.0,2026-03-31T00:00:00,DEM,DEM,False,,7.0,
IL,S6IL00607,"DELGADO, ADAM",C00914390,56308.96,76786.16,-19467.2,-19467.2,0.0,2026-03-31T00:00:00,DEM,DEM,False,,9.0,
IL,S6IL00292,"DUCKWORTH, L. TAMMY",C00574889,4300519.14,3242661.33,3801810.77,3801810.77,0.0,2026-03-31T00:00:00,DEM,DEM,False,,3.0,
IL,S6IL00151,"DURBIN, RICHARD J.",C00148999,79857.6,778171.85,976472.97,976472.97,0.0,2026-03-31T00:00:00,DEM,DEM,False,,8.0,
IL,S6IL00474,"KELLY, ROBIN",C00904300,3466395.93,3278736.11,187659.82,187659.82,0.0,2026-03-31T00:00:00,DEM,DEM,False,,4.0,
