state,dem_candidate_name,dem_fec_candidate_id,dem_committee_id,dem_total_receipts,dem_total_disbursements,dem_cash_on_hand,dem_debts_owed_by_committee,dem_coverage_end_date,dem_selection_method,rep_candidate_name,rep_fec_candidate_id,rep_committee_id,rep_total_receipts,rep_total_disbursements,rep_cash_on_hand,rep_debts_owed_by_committee,rep_coverage_end_date,rep_selection_method,direct_money_data_pulled_at,notes,dem_minus_rep_total_receipts,dem_minus_rep_cash_on_hand
HI,"SCHATZ, BRIAN",S4HI00136,C00540732,1185717.89,508868.78,2333473.53,0.0,2026-03-31T00:00:00,highest_total_receipts,"MCDERMOTT, ROBERT",S2HI00155,C00800656,59.4,111.31,72.43,4500.0,2026-03-31T00:00:00,highest_total_receipts,2026-05-03T13:31:13.952813+00:00,Snapshot built from principal committee totals for the selected Senate candidates.,1185658.49,2333401.0999999996
IA,"WAHLS, ZACH P",S6IA00272,C00907923,3167670.76,2112265.12,1055405.64,0.0,2026-03-31T00:00:00,highest_total_receipts,"ARENHOLZ, ASHLEY HINSON",S6IA00314,C00706267,7267266.37,2679198.52,6516143.25,0.0,2026-03-31T00:00:00,highest_total_receipts,2026-05-03T13:31:13.952835+00:00,Snapshot built from principal committee totals for the selected Senate candidates.,-4099595.6100000003,-5460737.61
ID,"ROTH, DAVID JORDAN",S6ID00138,C00839720,7494.66,8180.98,-91.55,10027.58,2026-03-31T00:00:00,highest_total_receipts,"CRAPO, MICHAEL D",S8ID00027,C00330886,1047393.27,590918.68,3028068.4,0.0,2026-03-31T00:00:00,highest_total_receipts,2026-05-03T13:31:13.952856+00:00,Snapshot built from principal committee totals for the selected Senate candidates.,-1039898.61,-3028159.9499999997
IL,"KRISHNAMOORTHI, S",S6IL00482,C00904466,31390858.87,28237935.72,3152923.15,116248.28,2026-03-31T00:00:00,highest_total_receipts,"TRACY, DON",S6IL00615,C00917120,2327334.3,783936.04,1543398.26,2000000.0,2026-03-31T00:00:00,highest_total_receipts,2026-05-03T13:31:13.952878+00:00,Snapshot built from principal committee totals for the selected Senate candidates.,29063524.57,1609524.89
IN,"BAYH, EVAN",S8IN00049,C00306860,310775.13,27524.01,2232143.55,0.0,2026-03-31T00:00:00,highest_total_receipts,"YOUNG, TODD CHRISTOPHER",S6IN00191,C00459255,3599267.98,1234309.96,6790900.66,0.0,2026-03-31T00:00:00,highest_total_receipts,2026-05-03T13:31:13.952901+00:00,Snapshot built from principal committee totals for the selected Senate candidates.,-3288492.85,-4558757.11
KS,"SPIDEL NEUMANN, SANDY",S6KS00262,C00923474,187436.34,149326.67,38109.67,100000.0,2026-03-31T00:00:00,highest_total_receipts,"MARSHALL, ROGER W",S0KS00315,C00576173,3331963.38,255723.24,4781258.78,0.0,2026-03-31T00:00:00,highest_total_receipts,2026-05-03T13:31:13.952930+00:00,Snapshot built from principal committee totals for the selected Senate candidates.,-3144527.04,-4743149.11
KY,"MCGRATH, AMY",S6KY00344,C00922302,1942704.23,1631150.23,311554.0,7350.0,2026-03-31T00:00:00,highest_total_receipts,"BARR, GARLAND ANDY",S6KY00286,C00467571,7968106.41,7486809.96,4174374.09,0.0,2026-03-31T00:00:00,highest_total_receipts,2026-05-03T13:31:13.952954+00:00,Snapshot built from principal committee totals for the selected Senate candidates.,-6025402.18,-3862820.09
LA,"CROCKETT, GARY",S6LA00680,C00941070,350000.0,12138.94,675722.12,350000.0,2026-03-31T00:00:00,highest_total_receipts,"FLEMING, JOHN C. JR.",S6LA00318,C00597013,11227243.48,9076736.19,2169403.67,3654723.0,2026-03-31T00:00:00,highest_total_receipts,2026-05-03T13:31:13.952978+00:00,Snapshot built from principal committee totals for the selected Senate candidates.,-10877243.48,-1493681.5499999998
MA,"MOULTON, SETH",S6MA00296,C00547240,4255419.17,2774289.78,3331467.45,0.0,2026-03-31T00:00:00,highest_total_receipts,"DEATON, JOHN",S6MA00304,C00926139,1400141.01,571567.1,828573.91,1005000.0,2026-03-31T00:00:00,highest_total_receipts,2026-05-03T13:31:13.953003+00:00,Snapshot built from principal committee totals for the selected Senate candidates.,2855278.16,2502893.54
MD,"TRONE, DAVID",S4MD00319,C00653196,11041367.95,6744393.16,4300816.22,10000000.0,2026-03-31T00:00:00,highest_total_receipts,"HOGAN, LARRY",S4MD00483,C00869016,142947.61,296257.42,0.0,9357.08,2026-03-31T00:00:00,highest_total_receipts,2026-05-03T13:31:13.953026+00:00,Snapshot built from principal committee totals for the selected Senate candidates.,10898420.34,4300816.22
ME,"PLATNER, GRAHAM",S6ME00373,C00916437,11956529.27,9225671.66,2730857.61,4766.6,2026-03-31T00:00:00,highest_total_receipts,"COLLINS, SUSAN M.",S6ME00159,C00314575,10463303.65,3038765.01,10000847.54,0.0,2026-03-31T00:00:00,highest_total_receipts,2026-05-03T13:31:13.953051+00:00,Snapshot built from principal committee totals for the selected Senate candidates.,1493225.6199999992,-7269989.93
MI,"STEVENS, HALEY",S6MI00426,C00903039,8870471.26,5481553.31,3388917.95,56555.46,2026-03-31T00:00:00,highest_total_receipts,"ROGERS, MICHAEL J",S4MI00595,C00849810,7623339.49,3670043.1,4208027.83,0.0,2026-03-31T00:00:00,highest_total_receipts,2026-05-03T13:31:13.953076+00:00,Snapshot built from principal committee totals for the selected Senate candidates.,1247131.7699999996,-819109.8799999999
MN,"CRAIG, ANGIE",S6MN00499,C00903690,9290611.68,4395298.62,4895313.06,389289.67,2026-03-31T00:00:00,highest_total_receipts,"TAFOYA, MICHELE",S6MN00556,C00935528,2041939.86,186972.48,1854967.38,0.0,2026-03-31T00:00:00,highest_total_receipts,2026-05-03T13:31:13.953104+00:00,Snapshot built from principal committee totals for the selected Senate candidates.,7248671.819999999,3040345.6799999997
MO,"KUNCE, LUCAS",S2MO00528,C00771972,407423.5,392734.45,62903.23,0.0,2026-03-31T00:00:00,highest_total_receipts,"SCHMITT, ERIC",S2MO00544,C00775015,2729849.42,1826166.73,1424246.37,0.0,2026-03-31T00:00:00,highest_total_receipts,2026-05-03T13:31:13.953129+00:00,Snapshot built from principal committee totals for the selected Senate candidates.,-2322425.92,-1361343.1400000001
MS,"COLOM, SCOTT",S6MS00133,C00918359,1619367.76,1059740.86,559626.9,86514.64,2026-03-31T00:00:00,highest_total_receipts,"HYDE-SMITH, CINDY",S8MS00261,C00675348,3394174.57,1405313.85,2458624.57,60000.0,2026-03-31T00:00:00,highest_total_receipts,2026-05-03T13:31:13.953153+00:00,Snapshot built from principal committee totals for the selected Senate candidates.,-1774806.8099999998,-1898997.67
MT,"NEILL, REILLY",S6MT00238,C00892505,272736.33,168977.55,103938.36,88000.0,2026-03-31T00:00:00,highest_total_receipts,"DAINES, STEVE",S2MT00096,C00491357,4709051.07,2192226.74,4275067.25,44813.08,2026-03-31T00:00:00,highest_total_receipts,2026-05-03T13:31:13.953177+00:00,Snapshot built from principal committee totals for the selected Senate candidates.,-4436314.74,-4171128.89
NC,"COOPER, ROY",S6NC00407,C00913566,26822372.69,8366909.64,18455463.05,0.0,2026-03-31T00:00:00,highest_total_receipts,"WHATLEY, MICHAEL",S6NC00415,C00913996,8408717.9,5880375.31,2528342.59,666374.48,2026-03-31T00:00:00,highest_total_receipts,2026-05-03T13:31:13.953202+00:00,Snapshot built from principal committee totals for the selected Senate candidates.,18413654.79,15927120.46
ND,"HEITKAMP, HEIDI",S2ND00099,C00505552,20099.16,19962.01,0.0,0.0,2026-03-04T00:00:00,highest_total_receipts,"CRAMER, KEVIN MR.",S8ND00120,C00504704,989847.21,1013079.59,2331656.99,0.0,2026-03-31T00:00:00,highest_total_receipts,2026-05-03T13:31:13.953226+00:00,Snapshot built from principal committee totals for the selected Senate candidates.,-969748.0499999999,-2331656.99
NE,"FORBES, WILLIAM",S6NE00160,C00943969,1000.0,1000.0,0.0,0.0,2026-04-22T00:00:00,highest_total_receipts,"RICKETTS, PETE",S6NE00129,C00832436,4866649.16,4281083.75,1072534.52,0.0,2026-04-22T00:00:00,highest_total_receipts,2026-05-03T13:31:13.953250+00:00,Snapshot built from principal committee totals for the selected Senate candidates.,-4865649.16,-1072534.52
NH,"PAPPAS, CHRIS",S6NH00141,C00660464,9860676.34,6044770.26,4223490.31,0.0,2026-03-31T00:00:00,highest_total_receipts,"SUNUNU, JOHN E",S6NH00208,C00924092,2475941.37,583037.19,1892904.18,0.0,2026-03-31T00:00:00,highest_total_receipts,2026-05-03T13:31:13.953274+00:00,Snapshot built from principal committee totals for the selected Senate candidates.,7384734.97,2330586.13
NJ,"BOOKER, CORY A.",S4NJ00185,C00540500,16808282.46,5829198.17,22171570.28,0.0,2026-03-31T00:00:00,highest_total_receipts,"LEBOVICS, ROBERT",S6NJ00438,C00941534,101260.25,77955.94,23304.31,100000.0,2026-03-31T00:00:00,highest_total_receipts,2026-05-03T13:31:13.953298+00:00,Snapshot built from principal committee totals for the selected Senate candidates.,16707022.21,22148265.970000003
NM,"LUJAN, BEN RAY",S0NM00058,C00443689,4658613.41,1696484.92,4175921.38,0.0,2026-03-31T00:00:00,highest_total_receipts,"DOMENICI, NELLA LOUISE LOUISE",S4NM00183,C00865956,2535.8,70693.82,3499.55,2800000.0,2026-03-31T00:00:00,highest_total_receipts,2026-05-03T13:31:13.953322+00:00,Snapshot built from principal committee totals for the selected Senate candidates.,4656077.61,4172421.83
NV,"CORTEZ MASTO, CATHERINE",S6NV00200,C00575548,1842748.74,1999039.34,3339755.42,0.0,2026-03-31T00:00:00,highest_total_receipts,"BROWN, SAM",S2NV00308,C00845032,256505.31,117921.69,402179.89,0.0,2026-03-31T00:00:00,highest_total_receipts,2026-05-03T13:31:13.953345+00:00,Snapshot built from principal committee totals for the selected Senate candidates.,1586243.43,2937575.53
NY,"GILLIBRAND, KIRSTEN",S0NY00410,C00413914,2198878.25,946803.49,1967801.67,0.0,2026-03-31T00:00:00,highest_total_receipts,"SAPRAICONE, MICHAEL",S4NY00404,C00846451,12698.81,59138.57,7935.98,615250.0,2026-03-31T00:00:00,highest_total_receipts,2026-05-03T13:31:13.953367+00:00,Snapshot built from principal committee totals for the selected Senate candidates.,2186179.44,1959865.69
OH,"BROWN, SHERROD",S6OH00163,C00916288,25979968.48,8951326.24,17028642.24,0.0,2026-04-15T00:00:00,highest_total_receipts,"HUSTED, JON",S6OH00304,C00896019,10518818.26,2357657.71,8161160.55,0.0,2026-04-15T00:00:00,highest_total_receipts,2026-05-03T13:31:13.953388+00:00,Snapshot built from principal committee totals for the selected Senate candidates.,15461150.22,8867481.689999998
OK,"PRIEST, JIM",S6OK04197,C00933051,203272.5,68438.0,134834.5,50000.0,2026-03-31T00:00:00,highest_total_receipts,"HERN, KEVIN",S6OK04247,C00943142,8284047.86,67761.21,8216286.65,5050000.0,2026-03-31T00:00:00,highest_total_receipts,2026-05-03T13:31:13.953408+00:00,Snapshot built from principal committee totals for the selected Senate candidates.,-8080775.36,-8081452.15
OR,"MERKLEY, JEFFREY ALAN",S8OR00207,C00437277,3798075.34,1484895.87,6580178.12,0.0,2026-03-31T00:00:00,highest_total_receipts,"SMITH, DAVID BROCK",S6OR05218,C00941559,24083.96,288.96,23795.0,28234.62,2026-03-31T00:00:00,highest_total_receipts,2026-05-03T13:31:13.953429+00:00,Snapshot built from principal committee totals for the selected Senate candidates.,3773991.38,6556383.12
PA,"FETTERMAN, JOHN KARL",S6PA00274,C00765800,1962346.71,2280352.2,1996681.1,22281.12,2026-03-31T00:00:00,highest_total_receipts,"MCCORMICK, DAVE",S2PA00661,C00851980,4117088.57,3966656.65,731455.65,6828883.23,2026-03-31T00:00:00,highest_total_receipts,2026-05-03T13:31:13.953450+00:00,Snapshot built from principal committee totals for the selected Senate candidates.,-2154741.86,1265225.4500000002
RI,"REED, JOHN F.",S6RI00163,C00238907,2602598.5,761309.2,3429481.34,0.0,2026-03-31T00:00:00,highest_total_receipts,"MCKAY, RAYMOND TYLER MR",S4RI00051,C00827964,139874.63,127794.47,12418.69,689.51,2026-03-31T00:00:00,highest_total_receipts,2026-05-03T13:31:13.953471+00:00,Snapshot built from principal committee totals for the selected Senate candidates.,2462723.87,3417062.65
SC,"ANDREWS, ANNIE",S6SC04239,C00906024,6519295.74,3880008.35,2639287.39,15688.47,2026-03-31T00:00:00,highest_total_receipts,"GRAHAM, LINDSEY O.",S0SC00149,C00458828,5928622.17,9938630.67,11613608.79,0.0,2026-03-31T00:00:00,highest_total_receipts,2026-05-03T13:31:13.953492+00:00,Snapshot built from principal committee totals for the selected Senate candidates.,590673.5700000003,-8974321.399999999
SD,"BEAUDION, JULIAN C",S6SD01125,C00901694,192473.04,185994.34,6478.7,14458.22,2026-03-31T00:00:00,highest_total_receipts,"THUNE, JOHN R.",S2SD00068,C00409581,3459924.82,1452615.44,17391646.65,0.0,2026-03-31T00:00:00,highest_total_receipts,2026-05-03T13:31:13.953513+00:00,Snapshot built from principal committee totals for the selected Senate candidates.,-3267451.78,-17385167.95
TN,"JOHNSON, GLORIA",S4TN00526,C00847400,6530.28,64828.83,84186.16,0.0,2026-03-31T00:00:00,highest_total_receipts,"HAGERTY, BILL",S0TN00169,C00718627,5880481.66,2133071.28,5674879.45,0.0,2026-03-31T00:00:00,highest_total_receipts,2026-05-03T13:31:13.953534+00:00,Snapshot built from principal committee totals for the selected Senate candidates.,-5873951.38,-5590693.29
TX,"TALARICO, JAMES",S6TX00479,C00919084,40284109.15,30425243.8,9858865.35,0.0,2026-03-31T00:00:00,highest_total_receipts,"CRUZ, RAFAEL EDWARD  TED",S2TX00312,C00492785,8266381.4,7469079.02,2584009.58,0.0,2026-03-31T00:00:00,highest_total_receipts,2026-05-03T13:31:13.953554+00:00,Snapshot built from principal committee totals for the selected Senate candidates.,32017727.75,7274855.77
UT,"GLEICH, CAROLINE",S4UT00308,C00865253,0.0,24810.26,0.0,0.0,2025-02-20T00:00:00,highest_total_receipts,"LEE, MIKE",S0UT00165,C00473827,2047902.2,2110270.85,846399.24,0.0,2026-03-31T00:00:00,highest_total_receipts,2026-05-03T13:31:13.953575+00:00,Snapshot built from principal committee totals for the selected Senate candidates.,-2047902.2,-846399.24
VA,"WARNER, MARK ROBERT",S6VA00093,C00438713,14719667.27,5667867.07,14605034.02,0.0,2026-03-31T00:00:00,highest_total_receipts,"MIZUSAWA, BERT K",S8VA00321,C00934265,192041.22,136636.24,55404.98,0.0,2026-03-31T00:00:00,highest_total_receipts,2026-05-03T13:31:13.953596+00:00,Snapshot built from principal committee totals for the selected Senate candidates.,14527626.049999999,14549629.04
VT,"WELCH, PETER",S2VT00235,C00795252,153598.18,234438.17,1632412.01,0.0,2026-03-31T00:00:00,highest_total_receipts,"MALLOY, GERALD",S2VT00292,C00809699,17908.37,33121.62,5821.38,0.0,2026-03-31T00:00:00,highest_total_receipts,2026-05-03T13:31:13.953617+00:00,Snapshot built from principal committee totals for the selected Senate candidates.,135689.81,1626590.6300000001
WA,"MURRAY, PATTY",S2WA00189,C00257642,2232288.58,1548499.77,1567249.95,0.0,2026-03-31T00:00:00,highest_total_receipts,"SMILEY, TIFFANY",S2WA00387,C00776765,126915.56,416902.89,0.0,0.0,2025-12-31T00:00:00,highest_total_receipts,2026-05-03T13:31:13.953638+00:00,Snapshot built from principal committee totals for the selected Senate candidates.,2105373.02,1567249.95
WI,"BALDWIN, TAMMY",S2WI00219,C00326801,2354257.76,1812160.5,567364.11,0.0,2026-03-31T00:00:00,highest_total_receipts,"JOHNSON, RON HAROLD MR.",S0WI00197,C00482984,974410.87,669021.88,1213434.75,8027316.94,2026-03-31T00:00:00,highest_total_receipts,2026-05-03T13:31:13.953659+00:00,Snapshot built from principal committee totals for the selected Senate candidates.,1379846.8899999997,-646070.64
WV,"SHREWSBURY, ZACHARY C",S4WV00357,C00853242,498538.98,490415.75,8123.23,25970.56,2026-04-22T00:00:00,highest_total_receipts,"CAPITO, SHELLEY MOORE",S4WV00159,C00539825,3906185.63,2152797.56,4064753.28,0.0,2026-04-22T00:00:00,highest_total_receipts,2026-05-03T13:31:13.953680+00:00,Snapshot built from principal committee totals for the selected Senate candidates.,-3407646.65,-4056630.05
WY,"BYRD, JAMES WILLARD MR.",S6WY00217,C00938738,9653.0,8319.97,1822.79,0.0,2026-03-31T00:00:00,highest_total_receipts,"HAGEMAN, HARRIET",S6WY00209,C00788943,1555542.88,1278925.42,1159580.5,0.0,2026-03-31T00:00:00,highest_total_receipts,2026-05-03T13:31:13.953701+00:00,Snapshot built from principal committee totals for the selected Senate candidates.,-1545889.88,-1157757.71
