state,fec_candidate_id,selected_candidate_name,committee_id,total_receipts,total_disbursements,cash_on_hand_end_period,cash_on_hand,debts_owed_by_committee,coverage_end_date,party,party_normalized,selected_candidate,selection_method,selection_rank_within_state_party,manual_override_reason,ie_oppose_amount,ie_support_amount,ie_total_amount,ie_net_support_minus_oppose,schedule_a_rows_raw,schedule_a_unique_sub_ids,schedule_a_net_amount_raw,schedule_a_net_amount_deduped_by_sub_id,schedule_a_duplication_factor,schedule_a_suspect_repeated_page_fetch,schedule_a_manifest_status,schedule_a_manifest_pages_fetched,schedule_a_manifest_total_pages_reported,schedule_a_manifest_row_count,schedule_a_manifest_fetched_at,schedule_a_manifest_error
LA,S6LA00318,"FLEMING, JOHN C. JR.",C00597013,11227243.48,9076736.19,2169403.67,2169403.67,3654723.0,2026-03-31T00:00:00,REP,REP,True,highest_total_receipts,1.0,,0.0,0.0,0.0,0.0,400.0,100.0,378840.0,94710.0,4.0,True,ok,4,4,400,2026-05-06T00:51:17.988126+00:00,
MD,S4MD00319,"TRONE, DAVID",C00653196,11041367.95,6744393.16,4300816.22,4300816.22,10000000.0,2026-03-31T00:00:00,DEM,DEM,True,highest_total_receipts,1.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False,ok,1,0,0,2026-05-06T00:52:38.778797+00:00,
OH,S6OH00304,"HUSTED, JON",C00896019,10518818.26,2357657.71,8161160.55,8161160.55,0.0,2026-04-15T00:00:00,REP,REP,True,highest_total_receipts,1.0,,22061.6,828116.86,850178.46,806055.26,9100.0,100.0,6948768.19,76360.09,91.0,True,ok,91,91,9100,2026-05-06T04:56:49.883169+00:00,
ME,S6ME00159,"COLLINS, SUSAN M.",C00314575,10463303.65,3038765.01,10000847.54,10000847.54,0.0,2026-03-31T00:00:00,REP,REP,True,highest_total_receipts,1.0,,1660.69,1082767.12,1084427.81,1081106.4300000002,5800.0,100.0,13971017.38,240879.61,58.0,True,ok,58,58,5800,2026-05-06T01:05:44.484444+00:00,
NH,S6NH00141,"PAPPAS, CHRIS",C00660464,9860676.34,6044770.26,4223490.31,4223490.31,0.0,2026-03-31T00:00:00,DEM,DEM,True,highest_total_receipts,1.0,,0.0,1188.23,1188.23,1188.23,10700.0,100.0,3658116.0,34188.0,107.0,True,ok,107,107,10700,2026-05-06T03:48:48.338727+00:00,
MN,S6MN00499,"CRAIG, ANGIE",C00903690,9290611.68,4395298.62,4895313.06,4895313.06,389289.67,2026-03-31T00:00:00,DEM,DEM,True,highest_total_receipts,1.0,,96000.0,663106.89,759106.89,567106.89,12000.0,100.0,8737500.0,72812.5,120.0,True,ok,120,120,12000,2026-05-06T01:47:30.895976+00:00,
MI,S6MI00426,"STEVENS, HALEY",C00903039,8870471.26,5481553.31,3388917.95,3388917.95,56555.46,2026-03-31T00:00:00,DEM,DEM,True,highest_total_receipts,1.0,,0.0,70857.0,70857.0,70857.0,12100.0,100.0,16273895.0,134495.0,121.0,True,ok,121,121,12100,2026-05-06T01:10:01.351885+00:00,
AK,S6AK00276,"PELTOLA, MARY",C00933978,8661662.38,2934553.61,5727108.77,5727108.77,0.0,2026-03-31T00:00:00,DEM,DEM,True,highest_total_receipts,1.0,,0.0,10093.33,10093.33,10093.33,8000.0,100.0,4192140.0,52401.75,80.0,True,ok,80,80,8000,2026-05-04T19:18:19.726826+00:00,
NC,S6NC00415,"WHATLEY, MICHAEL",C00913996,8408717.9,5880375.31,2528342.59,2528342.59,666374.48,2026-03-31T00:00:00,REP,REP,True,highest_total_receipts,1.0,,0.0,2441755.58,2441755.58,2441755.58,53100.0,100.0,40656046.86,76565.06,531.0,True,ok,531,531,53100,2026-05-06T03:42:23.767876+00:00,
FL,S6FL00640,"MOODY, ASHLEY",C00895763,8407063.8,1277671.65,7129392.15,7129392.15,0.0,2026-03-31T00:00:00,REP,REP,True,highest_total_receipts,1.0,,36025.0,397273.08,433298.08,361248.08,3300.0,100.0,2287136.94,69307.18,33.0,True,ok,33,33,3300,2026-05-05T18:03:17.599631+00:00,
OK,S6OK04247,"HERN, KEVIN",C00943142,8284047.86,67761.21,8216286.65,8216286.65,5050000.0,2026-03-31T00:00:00,REP,REP,True,highest_total_receipts,1.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False,ok,1,0,0,2026-05-06T04:56:53.339476+00:00,
TX,S2TX00312,"CRUZ, RAFAEL EDWARD  TED",C00492785,8266381.4,7469079.02,2584009.58,2584009.58,0.0,2026-03-31T00:00:00,REP,REP,True,highest_total_receipts,1.0,,8318.61,86795.03,95113.64,78476.42,84000.0,100.0,18232813.2,21705.73,840.0,True,ok,840,840,84000,2026-05-06T09:17:37.166925+00:00,
KY,S6KY00286,"BARR, GARLAND ANDY",C00467571,7968106.41,7486809.96,4174374.09,4174374.09,0.0,2026-03-31T00:00:00,REP,REP,True,highest_total_receipts,1.0,,8317508.2700000005,2438656.7800000003,10756165.05,-5878851.49,21800.0,100.0,9658705.82,44305.99,218.0,True,ok,218,218,21800,2026-05-06T00:51:08.602621+00:00,
CA,S4CA00555,"SCHIFF, ADAM",C00343871,7793490.82,4210120.6,9964396.84,9964396.84,0.0,2026-03-31T00:00:00,DEM,DEM,True,highest_total_receipts,1.0,,0.0,14.58,14.58,14.58,26000.0,100.0,1408316.0,5416.6,260.0,True,ok,260,260,26000,2026-05-05T18:42:14.180196+00:00,
MI,S4MI00595,"ROGERS, MICHAEL J",C00849810,7623339.49,3670043.1,4208027.83,4208027.83,0.0,2026-03-31T00:00:00,REP,REP,True,highest_total_receipts,1.0,,2500.0,1585047.63,1587547.63,1582547.63,81100.0,100.0,78321457.23,96573.93,811.0,True,ok,811,811,81100,2026-05-06T01:43:24.949961+00:00,
IA,S6IA00314,"ARENHOLZ, ASHLEY HINSON",C00706267,7267266.37,2679198.52,6516143.25,6516143.25,0.0,2026-03-31T00:00:00,REP,REP,True,highest_total_receipts,1.0,,0.0,648560.1,648560.1,648560.1,30800.0,100.0,1336368.88,4338.86,308.0,True,ok,308,308,30800,2026-05-06T00:32:46.867193+00:00,
CO,S0CO00575,"HICKENLOOPER, JOHN W.",C00716720,6818283.07,4217907.35,4036008.7,4036008.7,0.0,2026-03-31T00:00:00,DEM,DEM,True,highest_total_receipts,1.0,,0.0,194.01,194.01,194.01,10100.0,100.0,5881179.5,58229.5,101.0,True,ok,101,101,10100,2026-05-04T22:13:36.718422+00:00,
SC,S6SC04239,"ANDREWS, ANNIE",C00906024,6519295.74,3880008.35,2639287.39,2639287.39,15688.47,2026-03-31T00:00:00,DEM,DEM,True,highest_total_receipts,1.0,,0.0,0.0,0.0,0.0,16300.0,100.0,4978835.0,30545.0,163.0,True,ok,163,163,16300,2026-05-06T07:40:45.539895+00:00,
AK,S4AK00214,"SULLIVAN, DAN",C00570994,6500847.42,1505699.66,7086052.55,7086052.55,0.0,2026-03-31T00:00:00,REP,REP,True,highest_total_receipts,1.0,,15475.83,187925.97,203401.8,172450.14,3500.0,100.0,2175478.2,62156.52,35.0,True,ok,35,35,3500,2026-05-04T19:20:41.371752+00:00,
SC,S0SC00149,"GRAHAM, LINDSEY O.",C00458828,5928622.17,9938630.67,11613608.79,11613608.79,0.0,2026-03-31T00:00:00,REP,REP,True,highest_total_receipts,1.0,,0.0,357792.01,357792.01,357792.01,9200.0,100.0,2224119.32,24175.21,92.0,True,ok,92,92,9200,2026-05-06T07:43:49.502431+00:00,
TN,S0TN00169,"HAGERTY, BILL",C00718627,5880481.66,2133071.28,5674879.45,5674879.45,0.0,2026-03-31T00:00:00,REP,REP,True,highest_total_receipts,1.0,,0.0,559123.33,559123.33,559123.33,44100.0,100.0,12698744.94,28795.34,441.0,True,ok,441,441,44100,2026-05-06T08:00:39.330669+00:00,
AR,S4AR00103,"COTTON, THOMAS",C00499988,5406039.51,3069823.75,9787085.59,9787085.59,73959.0,2026-03-31T00:00:00,REP,REP,True,highest_total_receipts,1.0,,0.0,665400.0,665400.0,665400.0,15800.0,100.0,5960659.02,37725.69,158.0,True,ok,158,158,15800,2026-05-04T17:10:53.398242+00:00,
NE,S6NE00129,"RICKETTS, PETE",C00832436,4866649.16,4281083.75,1072534.52,1072534.52,0.0,2026-04-22T00:00:00,REP,REP,True,highest_total_receipts,1.0,,431.09,415760.55,416191.64,415329.45999999996,1400.0,100.0,2847274.08,203376.72,14.0,True,ok,14,14,1400,2026-05-06T03:45:09.708548+00:00,
MT,S2MT00096,"DAINES, STEVE",C00491357,4709051.07,2192226.74,4275067.25,4275067.25,44813.08,2026-03-31T00:00:00,REP,REP,True,highest_total_receipts,1.0,,0.0,0.0,0.0,0.0,18200.0,100.0,4207652.54,23118.97,182.0,True,ok,182,182,18200,2026-05-06T02:02:59.151450+00:00,
NM,S0NM00058,"LUJAN, BEN RAY",C00443689,4658613.41,1696484.92,4175921.38,4175921.38,0.0,2026-03-31T00:00:00,DEM,DEM,True,highest_total_receipts,1.0,,0.0,310.65,310.65,310.65,17300.0,100.0,6129217.0,35429.0,173.0,True,ok,173,173,17300,2026-05-06T04:19:19.471222+00:00,
MA,S6MA00296,"MOULTON, SETH",C00547240,4255419.17,2774289.78,3331467.45,3331467.45,0.0,2026-03-31T00:00:00,DEM,DEM,True,highest_total_receipts,1.0,,0.0,0.0,0.0,0.0,3600.0,100.0,4984823.16,138467.31,36.0,True,ok,36,36,3600,2026-05-06T00:52:31.189281+00:00,
PA,S2PA00661,"MCCORMICK, DAVE",C00851980,4117088.57,3966656.65,731455.65,731455.65,6828883.23,2026-03-31T00:00:00,REP,REP,True,highest_total_receipts,1.0,,0.0,0.0,0.0,0.0,25700.0,100.0,1625404.21,6324.53,257.0,True,ok,257,257,25700,2026-05-06T07:32:23.798815+00:00,
WV,S4WV00159,"CAPITO, SHELLEY MOORE",C00539825,3906185.63,2152797.56,4064753.28,4064753.28,0.0,2026-04-22T00:00:00,REP,REP,True,highest_total_receipts,1.0,,0.0,337584.92,337584.92,337584.92,1100.0,100.0,1065938.5,96903.5,11.0,True,ok,11,11,1100,2026-05-06T10:03:07.845724+00:00,
OR,S8OR00207,"MERKLEY, JEFFREY ALAN",C00437277,3798075.34,1484895.87,6580178.12,6580178.12,0.0,2026-03-31T00:00:00,DEM,DEM,True,highest_total_receipts,1.0,,0.0,120.0,120.0,120.0,21200.0,100.0,1535516.0,7243.0,212.0,True,ok,212,212,21200,2026-05-06T05:08:28.459113+00:00,
IN,S6IN00191,"YOUNG, TODD CHRISTOPHER",C00459255,3599267.98,1234309.96,6790900.66,6790900.66,0.0,2026-03-31T00:00:00,REP,REP,True,highest_total_receipts,1.0,,0.0,0.0,0.0,0.0,2600.0,100.0,3302110.5,127004.25,26.0,True,ok,26,26,2600,2026-05-06T00:39:20.093709+00:00,
SD,S2SD00068,"THUNE, JOHN R.",C00409581,3459924.82,1452615.44,17391646.65,17391646.65,0.0,2026-03-31T00:00:00,REP,REP,True,highest_total_receipts,1.0,,0.0,0.0,0.0,0.0,2800.0,100.0,720342.84,25726.53,28.0,True,ok,28,28,2800,2026-05-06T07:44:51.557870+00:00,
MS,S8MS00261,"HYDE-SMITH, CINDY",C00675348,3394174.57,1405313.85,2458624.57,2458624.57,60000.0,2026-03-31T00:00:00,REP,REP,True,highest_total_receipts,1.0,,75922.73999999999,133948.38999999998,209871.12999999998,58025.649999999994,2400.0,100.0,1273762.8,53073.45,24.0,True,ok,24,24,2400,2026-05-06T01:56:47.756977+00:00,
KS,S0KS00315,"MARSHALL, ROGER W",C00576173,3331963.38,255723.24,4781258.78,4781258.78,0.0,2026-03-31T00:00:00,REP,REP,True,highest_total_receipts,1.0,,0.0,139713.79,139713.79,139713.79,2300.0,100.0,2520569.08,109589.96,23.0,True,ok,23,23,2300,2026-05-06T00:40:06.996955+00:00,
IA,S6IA00272,"WAHLS, ZACH P",C00907923,3167670.76,2112265.12,1055405.64,1055405.64,0.0,2026-03-31T00:00:00,DEM,DEM,True,highest_total_receipts,1.0,,0.0,0.0,0.0,0.0,3800.0,100.0,2242662.34,59017.43,38.0,True,ok,38,38,3800,2026-05-05T22:17:41.990967+00:00,
DE,S0DE00092,"COONS, CHRISTOPHER A.",C00475392,3044649.37,1100177.83,4129671.39,4129671.39,0.0,2026-03-31T00:00:00,DEM,DEM,True,highest_total_receipts,1.0,,0.0,0.0,0.0,0.0,2200.0,100.0,1262008.0,57364.0,22.0,True,ok,22,22,2200,2026-05-05T06:07:15.761594+00:00,
MO,S2MO00544,"SCHMITT, ERIC",C00775015,2729849.42,1826166.73,1424246.37,1424246.37,0.0,2026-03-31T00:00:00,REP,REP,True,highest_total_receipts,1.0,,0.0,100433.68,100433.68,100433.68,22300.0,100.0,819560.68,3675.16,223.0,True,ok,223,223,22300,2026-05-06T01:55:36.889467+00:00,
RI,S6RI00163,"REED, JOHN F.",C00238907,2602598.5,761309.2,3429481.34,3429481.34,0.0,2026-03-31T00:00:00,DEM,DEM,True,highest_total_receipts,1.0,,0.0,0.0,0.0,0.0,1200.0,100.0,2219820.0,184985.0,12.0,True,ok,12,12,1200,2026-05-06T07:33:48.239294+00:00,
NH,S6NH00208,"SUNUNU, JOHN E",C00924092,2475941.37,583037.19,1892904.18,1892904.18,0.0,2026-03-31T00:00:00,REP,REP,True,highest_total_receipts,1.0,,130636.0,266000.0,396636.0,135364.0,900.0,100.0,1504180.26,167131.14,9.0,True,ok,9,9,900,2026-05-06T03:49:05.625702+00:00,
WI,S2WI00219,"BALDWIN, TAMMY",C00326801,2354257.76,1812160.5,567364.11,567364.11,0.0,2026-03-31T00:00:00,DEM,DEM,True,highest_total_receipts,1.0,,17353.379999999997,10917.64,28271.019999999997,-6435.739999999998,13300.0,100.0,622733.93,4682.21,133.0,True,ok,133,133,13300,2026-05-06T09:58:59.265660+00:00,
AL,S2AL00145,"BRITT, KATIE BOYD",C00781443,2354118.85,1240070.25,5223597.3,5223597.3,30327.0,2026-03-31T00:00:00,REP,REP,True,highest_total_receipts,1.0,,0.0,0.0,0.0,0.0,7300.0,100.0,479880.83,6573.71,73.0,True,ok,73,73,7300,2026-05-04T19:24:04.600953+00:00,
IL,S6IL00615,"TRACY, DON",C00917120,2327334.3,783936.04,1543398.26,1543398.26,2000000.0,2026-03-31T00:00:00,REP,REP,True,highest_total_receipts,1.0,,0.0,0.0,0.0,0.0,300.0,100.0,247841.82,82613.94,3.0,True,ok,3,3,300,2026-05-06T00:38:23.664816+00:00,
WA,S2WA00189,"MURRAY, PATTY",C00257642,2232288.58,1548499.77,1567249.95,1567249.95,0.0,2026-03-31T00:00:00,DEM,DEM,True,highest_total_receipts,1.0,,0.0,0.0,0.0,0.0,8300.0,100.0,1223420.0,14740.0,83.0,True,ok,83,83,8300,2026-05-06T09:54:14.493436+00:00,
NY,S0NY00410,"GILLIBRAND, KIRSTEN",C00413914,2198878.25,946803.49,1967801.67,1967801.67,0.0,2026-03-31T00:00:00,DEM,DEM,True,highest_total_receipts,1.0,,0.0,0.0,0.0,0.0,3200.0,100.0,989952.0,30936.0,32.0,True,ok,32,32,3200,2026-05-06T04:24:07.609693+00:00,
UT,S0UT00165,"LEE, MIKE",C00473827,2047902.2,2110270.85,846399.24,846399.24,0.0,2026-03-31T00:00:00,REP,REP,True,highest_total_receipts,1.0,,0.0,85917.36,85917.36,85917.36,26600.0,100.0,900053.5599999999,3383.66,266.0,True,ok,266,266,26600,2026-05-06T09:31:19.719004+00:00,
MN,S6MN00556,"TAFOYA, MICHELE",C00935528,2041939.86,186972.48,1854967.38,1854967.38,0.0,2026-03-31T00:00:00,REP,REP,True,highest_total_receipts,1.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False,ok,1,0,0,2026-05-06T01:47:32.607013+00:00,
PA,S6PA00274,"FETTERMAN, JOHN KARL",C00765800,1962346.71,2280352.2,1996681.1,1996681.1,22281.12,2026-03-31T00:00:00,DEM,DEM,True,highest_total_receipts,1.0,,7352.210000000001,0.0,7352.210000000001,-7352.210000000001,23600.0,100.0,4886144.0,20704.0,236.0,True,ok,236,236,23600,2026-05-06T07:22:56.224235+00:00,
KY,S6KY00344,"MCGRATH, AMY",C00922302,1942704.23,1631150.23,311554.0,311554.0,7350.0,2026-03-31T00:00:00,DEM,DEM,True,highest_total_receipts,1.0,,0.0,0.0,0.0,0.0,900.0,100.0,561186.0,62354.0,9.0,True,ok,9,9,900,2026-05-06T00:40:25.015311+00:00,
NV,S6NV00200,"CORTEZ MASTO, CATHERINE",C00575548,1842748.74,1999039.34,3339755.42,3339755.42,0.0,2026-03-31T00:00:00,DEM,DEM,True,highest_total_receipts,1.0,,7352.209999999999,0.0,7352.209999999999,-7352.209999999999,9500.0,100.0,770137.45,8106.71,95.0,True,ok,95,95,9500,2026-05-06T04:22:38.283380+00:00,
MS,S6MS00133,"COLOM, SCOTT",C00918359,1619367.76,1059740.86,559626.9,559626.9,86514.64,2026-03-31T00:00:00,DEM,DEM,True,highest_total_receipts,1.0,,0.0,334154.5,334154.5,334154.5,1100.0,100.0,612124.81,55647.71,11.0,True,ok,11,11,1100,2026-05-06T01:55:58.807110+00:00,
AR,S6AR00199,"SHOFFNER, HALLIE",C00905471,1589764.37,1011034.49,578729.88,578729.88,0.0,2026-03-31T00:00:00,DEM,DEM,True,highest_total_receipts,1.0,,1279162.0,0.0,1279162.0,-1279162.0,2400.0,100.0,651833.76,27159.74,24.0,True,ok,24,24,2400,2026-05-04T19:28:57.970504+00:00,
WY,S6WY00209,"HAGEMAN, HARRIET",C00788943,1555542.88,1278925.42,1159580.5,1159580.5,0.0,2026-03-31T00:00:00,REP,REP,True,highest_total_receipts,1.0,,0.0,16606.94,16606.94,16606.94,10700.0,100.0,1470115.8,13739.4,107.0,True,ok,107,107,10700,2026-05-06T10:10:06.768047+00:00,
MA,S6MA00304,"DEATON, JOHN",C00926139,1400141.01,571567.1,828573.91,828573.91,1005000.0,2026-03-31T00:00:00,REP,REP,True,highest_total_receipts,1.0,,0.0,0.0,0.0,0.0,300.0,100.0,233430.63,77810.21,3.0,True,ok,3,3,300,2026-05-06T00:52:37.074315+00:00,
HI,S4HI00136,"SCHATZ, BRIAN",C00540732,1185717.89,508868.78,2333473.53,2333473.53,0.0,2026-03-31T00:00:00,DEM,DEM,True,highest_total_receipts,1.0,,0.0,0.0,0.0,0.0,1200.0,100.0,370524.0,30877.0,12.0,True,ok,12,12,1200,2026-05-05T22:16:12.187383+00:00,
ID,S8ID00027,"CRAPO, MICHAEL D",C00330886,1047393.27,590918.68,3028068.4,3028068.4,0.0,2026-03-31T00:00:00,REP,REP,True,highest_total_receipts,1.0,,0.0,0.0,0.0,0.0,400.0,100.0,423280.0,105820.0,4.0,True,ok,4,4,400,2026-05-06T00:32:56.797492+00:00,
ND,S8ND00120,"CRAMER, KEVIN MR.",C00504704,989847.21,1013079.59,2331656.99,2331656.99,0.0,2026-03-31T00:00:00,REP,REP,True,highest_total_receipts,1.0,,0.0,0.0,0.0,0.0,5700.0,100.0,99951.78,1753.54,57.0,True,ok,57,57,5700,2026-05-06T03:44:40.117276+00:00,
WI,S0WI00197,"JOHNSON, RON HAROLD MR.",C00482984,974410.87,669021.88,1213434.75,1213434.75,8027316.94,2026-03-31T00:00:00,REP,REP,True,highest_total_receipts,1.0,,0.0,69851.74,69851.74,69851.74,10800.0,100.0,578642.4,5357.8,108.0,True,ok,108,108,10800,2026-05-06T10:02:42.293755+00:00,
WV,S4WV00357,"SHREWSBURY, ZACHARY C",C00853242,498538.98,490415.75,8123.23,8123.23,25970.56,2026-04-22T00:00:00,DEM,DEM,True,highest_total_receipts,1.0,,0.0,0.0,0.0,0.0,200.0,100.0,50952.0,25476.0,2.0,False,ok,2,2,200,2026-05-06T10:02:46.014869+00:00,
CO,S6CO00440,"JOSHI, JANAK",C00910794,485402.64,192985.78,292416.86,292416.86,350100.0,2026-03-31T00:00:00,REP,REP,True,highest_total_receipts,1.0,,0.0,0.0,0.0,0.0,600.0,100.0,63905.82,10650.97,6.0,True,ok,6,6,600,2026-05-04T22:13:44.897930+00:00,
MO,S2MO00528,"KUNCE, LUCAS",C00771972,407423.5,392734.45,62903.23,62903.23,0.0,2026-03-31T00:00:00,DEM,DEM,True,highest_total_receipts,1.0,,0.0,0.0,0.0,0.0,900.0,100.0,87583.5,9731.5,9.0,True,ok,9,9,900,2026-05-06T01:47:51.582816+00:00,
AZ,S4AZ00220,"LAKE, KARI",C00852343,365326.02,112031.56,471507.94,471507.94,1007764.01,2026-03-31T00:00:00,REP,REP,True,highest_total_receipts,1.0,,2484.62,0.0,2484.62,-2484.62,9700.0,100.0,254797.66,2626.78,97.0,True,ok,97,97,9700,2026-05-04T22:07:38.087072+00:00,
LA,S6LA00680,"CROCKETT, GARY",C00941070,350000.0,12138.94,675722.12,675722.12,350000.0,2026-03-31T00:00:00,DEM,DEM,True,highest_total_receipts,1.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False,ok,1,0,0,2026-05-06T00:51:10.319347+00:00,
IN,S8IN00049,"BAYH, EVAN",C00306860,310775.13,27524.01,2232143.55,2232143.55,0.0,2026-03-31T00:00:00,DEM,DEM,True,highest_total_receipts,1.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False,ok,1,0,0,2026-05-06T00:38:25.385609+00:00,
MT,S6MT00238,"NEILL, REILLY",C00892505,272736.33,168977.55,103938.36,103938.36,88000.0,2026-03-31T00:00:00,DEM,DEM,True,highest_total_receipts,1.0,,0.0,0.0,0.0,0.0,200.0,100.0,24969.82,12484.91,2.0,False,ok,2,2,200,2026-05-06T01:56:51.845812+00:00,
NV,S2NV00308,"BROWN, SAM",C00845032,256505.31,117921.69,402179.89,402179.89,0.0,2026-03-31T00:00:00,REP,REP,True,highest_total_receipts,1.0,,0.0,0.0,0.0,0.0,400.0,100.0,132568.28,33142.07,4.0,True,ok,4,4,400,2026-05-06T04:22:46.065528+00:00,
OK,S6OK04197,"PRIEST, JIM",C00933051,203272.5,68438.0,134834.5,134834.5,50000.0,2026-03-31T00:00:00,DEM,DEM,True,highest_total_receipts,1.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False,ok,1,0,0,2026-05-06T04:56:51.596781+00:00,
SD,S6SD01125,"BEAUDION, JULIAN C",C00901694,192473.04,185994.34,6478.7,6478.7,14458.22,2026-03-31T00:00:00,DEM,DEM,True,highest_total_receipts,1.0,,0.0,0.0,0.0,0.0,400.0,100.0,75189.44,18797.36,4.0,True,ok,4,4,400,2026-05-06T07:43:57.592235+00:00,
VA,S8VA00321,"MIZUSAWA, BERT K",C00934265,192041.22,136636.24,55404.98,55404.98,0.0,2026-03-31T00:00:00,REP,REP,True,highest_total_receipts,1.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False,ok,1,0,0,2026-05-06T09:49:11.765973+00:00,
