state,selected_candidate_name,party_normalized,committee_id,schedule_a_manifest_status,schedule_a_manifest_pages_fetched,schedule_a_manifest_total_pages_reported,schedule_a_manifest_row_count,schedule_a_rows_raw,schedule_a_unique_sub_ids,schedule_a_duplication_factor,schedule_a_net_amount_raw,schedule_a_net_amount_deduped_by_sub_id,schedule_a_suspect_repeated_page_fetch,schedule_a_manifest_fetched_at,schedule_a_manifest_error
MI,"STEVENS, HALEY",DEM,C00903039,ok,121,121,12100,12100.0,100.0,121.0,16273895.0,134495.0,True,2026-05-06T01:10:01.351885+00:00,
MN,"CRAIG, ANGIE",DEM,C00903690,ok,120,120,12000,12000.0,100.0,120.0,8737500.0,72812.5,True,2026-05-06T01:47:30.895976+00:00,
WI,"JOHNSON, RON HAROLD MR.",REP,C00482984,ok,108,108,10800,10800.0,100.0,108.0,578642.4,5357.8,True,2026-05-06T10:02:42.293755+00:00,
WY,"HAGEMAN, HARRIET",REP,C00788943,ok,107,107,10700,10700.0,100.0,107.0,1470115.8,13739.4,True,2026-05-06T10:10:06.768047+00:00,
NH,"PAPPAS, CHRIS",DEM,C00660464,ok,107,107,10700,10700.0,100.0,107.0,3658116.0,34188.0,True,2026-05-06T03:48:48.338727+00:00,
CO,"HICKENLOOPER, JOHN W.",DEM,C00716720,ok,101,101,10100,10100.0,100.0,101.0,5881179.5,58229.5,True,2026-05-04T22:13:36.718422+00:00,
AZ,"LAKE, KARI",REP,C00852343,ok,97,97,9700,9700.0,100.0,97.0,254797.66,2626.78,True,2026-05-04T22:07:38.087072+00:00,
IL,"KRISHNAMOORTHI, S",DEM,C00904466,ok,96,96,9600,9600.0,100.0,96.0,5130384.0,53441.5,True,2026-05-06T00:38:18.036845+00:00,
NV,"CORTEZ MASTO, CATHERINE",DEM,C00575548,ok,95,95,9500,9500.0,100.0,95.0,770137.45,8106.71,True,2026-05-06T04:22:38.283380+00:00,
SC,"GRAHAM, LINDSEY O.",REP,C00458828,ok,92,92,9200,9200.0,100.0,92.0,2224119.32,24175.21,True,2026-05-06T07:43:49.502431+00:00,
OH,"HUSTED, JON",REP,C00896019,ok,91,91,9100,9100.0,100.0,91.0,6948768.19,76360.09,True,2026-05-06T04:56:49.883169+00:00,
WA,"MURRAY, PATTY",DEM,C00257642,ok,83,83,8300,8300.0,100.0,83.0,1223420.0,14740.0,True,2026-05-06T09:54:14.493436+00:00,
AK,"PELTOLA, MARY",DEM,C00933978,ok,80,80,8000,8000.0,100.0,80.0,4192140.0,52401.75,True,2026-05-04T19:18:19.726826+00:00,
AL,"BRITT, KATIE BOYD",REP,C00781443,ok,73,73,7300,7300.0,100.0,73.0,479880.83,6573.71,True,2026-05-04T19:24:04.600953+00:00,
ME,"COLLINS, SUSAN M.",REP,C00314575,ok,58,58,5800,5800.0,100.0,58.0,13971017.38,240879.61,True,2026-05-06T01:05:44.484444+00:00,
ND,"CRAMER, KEVIN MR.",REP,C00504704,ok,57,57,5700,5700.0,100.0,57.0,99951.78,1753.54,True,2026-05-06T03:44:40.117276+00:00,
IA,"WAHLS, ZACH P",DEM,C00907923,ok,38,38,3800,3800.0,100.0,38.0,2242662.34,59017.43,True,2026-05-05T22:17:41.990967+00:00,
MA,"MOULTON, SETH",DEM,C00547240,ok,36,36,3600,3600.0,100.0,36.0,4984823.16,138467.31,True,2026-05-06T00:52:31.189281+00:00,
AK,"SULLIVAN, DAN",REP,C00570994,ok,35,35,3500,3500.0,100.0,35.0,2175478.2,62156.52,True,2026-05-04T19:20:41.371752+00:00,
FL,"MOODY, ASHLEY",REP,C00895763,ok,33,33,3300,3300.0,100.0,33.0,2287136.94,69307.18,True,2026-05-05T18:03:17.599631+00:00,
NY,"GILLIBRAND, KIRSTEN",DEM,C00413914,ok,32,32,3200,3200.0,100.0,32.0,989952.0,30936.0,True,2026-05-06T04:24:07.609693+00:00,
RI,"MCKAY, RAYMOND TYLER MR",REP,C00827964,ok,31,31,3100,3100.0,100.0,31.0,183675.93,5925.03,True,2026-05-06T07:34:51.151307+00:00,
SD,"THUNE, JOHN R.",REP,C00409581,ok,28,28,2800,2800.0,100.0,28.0,720342.84,25726.53,True,2026-05-06T07:44:51.557870+00:00,
IN,"YOUNG, TODD CHRISTOPHER",REP,C00459255,ok,26,26,2600,2600.0,100.0,26.0,3302110.5,127004.25,True,2026-05-06T00:39:20.093709+00:00,
MS,"HYDE-SMITH, CINDY",REP,C00675348,ok,24,24,2400,2400.0,100.0,24.0,1273762.8,53073.45,True,2026-05-06T01:56:47.756977+00:00,
AR,"SHOFFNER, HALLIE",DEM,C00905471,ok,24,24,2400,2400.0,100.0,24.0,651833.76,27159.74,True,2026-05-04T19:28:57.970504+00:00,
KS,"MARSHALL, ROGER W",REP,C00576173,ok,23,23,2300,2300.0,100.0,23.0,2520569.08,109589.96,True,2026-05-06T00:40:06.996955+00:00,
DE,"COONS, CHRISTOPHER A.",DEM,C00475392,ok,22,22,2200,2200.0,100.0,22.0,1262008.0,57364.0,True,2026-05-05T06:07:15.761594+00:00,
NE,"RICKETTS, PETE",REP,C00832436,ok,14,14,1400,1400.0,100.0,14.0,2847274.08,203376.72,True,2026-05-06T03:45:09.708548+00:00,
RI,"REED, JOHN F.",DEM,C00238907,ok,12,12,1200,1200.0,100.0,12.0,2219820.0,184985.0,True,2026-05-06T07:33:48.239294+00:00,
HI,"SCHATZ, BRIAN",DEM,C00540732,ok,12,12,1200,1200.0,100.0,12.0,370524.0,30877.0,True,2026-05-05T22:16:12.187383+00:00,
WV,"CAPITO, SHELLEY MOORE",REP,C00539825,ok,11,11,1100,1100.0,100.0,11.0,1065938.5,96903.5,True,2026-05-06T10:03:07.845724+00:00,
MS,"COLOM, SCOTT",DEM,C00918359,ok,11,11,1100,1100.0,100.0,11.0,612124.81,55647.71,True,2026-05-06T01:55:58.807110+00:00,
MO,"KUNCE, LUCAS",DEM,C00771972,ok,9,9,900,900.0,100.0,9.0,87583.5,9731.5,True,2026-05-06T01:47:51.582816+00:00,
KY,"MCGRATH, AMY",DEM,C00922302,ok,9,9,900,900.0,100.0,9.0,561186.0,62354.0,True,2026-05-06T00:40:25.015311+00:00,
NH,"SUNUNU, JOHN E",REP,C00924092,ok,9,9,900,900.0,100.0,9.0,1504180.26,167131.14,True,2026-05-06T03:49:05.625702+00:00,
MD,"HOGAN, LARRY",REP,C00869016,ok,8,8,800,800.0,100.0,8.0,29674.72,3709.34,True,2026-05-06T00:52:54.535300+00:00,
CO,"JOSHI, JANAK",REP,C00910794,ok,6,6,600,600.0,100.0,6.0,63905.82,10650.97,True,2026-05-04T22:13:44.897930+00:00,
SD,"BEAUDION, JULIAN C",DEM,C00901694,ok,4,4,400,400.0,100.0,4.0,75189.44,18797.36,True,2026-05-06T07:43:57.592235+00:00,
NV,"BROWN, SAM",REP,C00845032,ok,4,4,400,400.0,100.0,4.0,132568.28,33142.07,True,2026-05-06T04:22:46.065528+00:00,
ID,"CRAPO, MICHAEL D",REP,C00330886,ok,4,4,400,400.0,100.0,4.0,423280.0,105820.0,True,2026-05-06T00:32:56.797492+00:00,
LA,"FLEMING, JOHN C. JR.",REP,C00597013,ok,4,4,400,400.0,100.0,4.0,378840.0,94710.0,True,2026-05-06T00:51:17.988126+00:00,
WA,"SMILEY, TIFFANY",REP,C00776765,ok,4,4,400,400.0,100.0,4.0,9226.2,2306.55,True,2026-05-06T09:54:22.421431+00:00,
MA,"DEATON, JOHN",REP,C00926139,ok,3,3,300,300.0,100.0,3.0,233430.63,77810.21,True,2026-05-06T00:52:37.074315+00:00,
IL,"TRACY, DON",REP,C00917120,ok,3,3,300,300.0,100.0,3.0,247841.82,82613.94,True,2026-05-06T00:38:23.664816+00:00,
VT,"WELCH, PETER",DEM,C00795252,ok,3,3,300,300.0,100.0,3.0,17619.0,5873.0,True,2026-05-06T09:49:18.045335+00:00,
MT,"NEILL, REILLY",DEM,C00892505,ok,2,2,200,200.0,100.0,2.0,24969.82,12484.91,False,2026-05-06T01:56:51.845812+00:00,
WV,"SHREWSBURY, ZACHARY C",DEM,C00853242,ok,2,2,200,200.0,100.0,2.0,50952.0,25476.0,False,2026-05-06T10:02:46.014869+00:00,
AL,"SWEETSER, KYLE",DEM,C00901777,ok,2,2,200,200.0,100.0,2.0,116621.14,58310.57,False,2026-05-03T14:08:16.879401+00:00,
KS,"SPIDEL NEUMANN, SANDY",DEM,C00923474,ok,1,1,52,52.0,52.0,1.0,37150.0,37150.0,False,2026-05-06T00:39:21.923769+00:00,
VT,"MALLOY, GERALD",REP,C00809699,ok,1,1,15,15.0,15.0,1.0,7020.0,7020.0,False,2026-05-06T09:49:19.792528+00:00,
ND,"HEITKAMP, HEIDI",DEM,C00505552,ok,1,1,4,4.0,4.0,1.0,12950.0,12950.0,False,2026-05-06T03:42:25.496819+00:00,
ID,"ROTH, DAVID JORDAN",DEM,C00839720,ok,1,1,4,4.0,4.0,1.0,1400.0,1400.0,False,2026-05-06T00:32:48.608407+00:00,
GA,"CLEMENT, CHRISTINA LOREN REV DR TRUSTE",REP,C00857128,ok,1,1,3,3.0,3.0,1.0,900.0,900.0,False,2026-05-05T22:15:47.703604+00:00,
TN,"JOHNSON, GLORIA",DEM,C00847400,ok,1,1,3,3.0,3.0,1.0,8200.0,8200.0,False,2026-05-06T07:44:53.282725+00:00,
NY,"SAPRAICONE, MICHAEL",REP,C00846451,ok,1,1,3,3.0,3.0,1.0,500.0,500.0,False,2026-05-06T04:24:09.340353+00:00,
NM,"DOMENICI, NELLA LOUISE LOUISE",REP,C00865956,ok,1,1,1,1.0,1.0,1.0,-237.5,-237.5,False,2026-05-06T04:19:21.205252+00:00,
IN,"BAYH, EVAN",DEM,C00306860,ok,1,0,0,0.0,0.0,0.0,0.0,0.0,False,2026-05-06T00:38:25.385609+00:00,
CA,"BRADLEY, JAMES",REP,C00674085,ok,1,0,0,0.0,0.0,0.0,0.0,0.0,False,2026-05-04T22:10:29.030084+00:00,
WY,"BYRD, JAMES WILLARD MR.",DEM,C00938738,ok,1,0,0,0.0,0.0,0.0,0.0,0.0,False,2026-05-06T10:03:09.547237+00:00,
CT,"COREY, MATTHEW MCKINNON",REP,C00878561,ok,1,0,0,0.0,0.0,0.0,0.0,0.0,False,2026-05-05T04:05:55.840184+00:00,
LA,"CROCKETT, GARY",DEM,C00941070,ok,1,0,0,0.0,0.0,0.0,0.0,0.0,False,2026-05-06T00:51:10.319347+00:00,
NE,"FORBES, WILLIAM",DEM,C00943969,ok,1,0,0,0.0,0.0,0.0,0.0,0.0,False,2026-05-06T03:44:41.824646+00:00,
UT,"GLEICH, CAROLINE",DEM,C00865253,ok,1,0,0,0.0,0.0,0.0,0.0,0.0,False,2026-05-06T09:17:38.869464+00:00,
OK,"HERN, KEVIN",REP,C00943142,ok,1,0,0,0.0,0.0,0.0,0.0,0.0,False,2026-05-06T04:56:53.339476+00:00,
NJ,"LEBOVICS, ROBERT",REP,C00941534,ok,1,0,0,0.0,0.0,0.0,0.0,0.0,False,2026-05-06T04:12:16.637558+00:00,
HI,"MCDERMOTT, ROBERT",REP,C00800656,ok,1,0,0,0.0,0.0,0.0,0.0,0.0,False,2026-05-05T22:16:13.903346+00:00,
VA,"MIZUSAWA, BERT K",REP,C00934265,ok,1,0,0,0.0,0.0,0.0,0.0,0.0,False,2026-05-06T09:49:11.765973+00:00,
OK,"PRIEST, JIM",DEM,C00933051,ok,1,0,0,0.0,0.0,0.0,0.0,0.0,False,2026-05-06T04:56:51.596781+00:00,
DE,"SHULLI, JOHN",REP,C00933663,ok,1,0,0,0.0,0.0,0.0,0.0,0.0,False,2026-05-05T06:07:16.913685+00:00,
OR,"SMITH, DAVID BROCK",REP,C00941559,ok,1,0,0,0.0,0.0,0.0,0.0,0.0,False,2026-05-06T05:08:30.164258+00:00,
MN,"TAFOYA, MICHELE",REP,C00935528,ok,1,0,0,0.0,0.0,0.0,0.0,0.0,False,2026-05-06T01:47:32.607013+00:00,
MD,"TRONE, DAVID",DEM,C00653196,ok,1,0,0,0.0,0.0,0.0,0.0,0.0,False,2026-05-06T00:52:38.778797+00:00,
